case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. No. 253716,"PLATINUM GROUP METALS CORPORATION, PETITIONER, VS. THE MERCANTILE INSURANCE CO., INC., RESPONDENT.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69069,THIRD DIVISION,INTING,"WHEREFORE, the petition is DENIED. The Decision dated December 4, 2019, and the Resolution dated September 25, 2020, of the Court of Appeals in CA-G.R. CV No. 111021 are AFFIRMED WITH MODIFICATION in that the Complaint for breach of obligation and recovery under Special Risks Policy No. EF-04010/11, dated August 29, 2013, filed by petitioner Platinum Group Metals Corporation against respondent The Mercantile Insurance Co., Inc. is dismissed on the ground that the loss of or damage to the .insured trucks was caused by an excepted peril.SO ORDERED. Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 254586,"ROSELL R. ARGUILLES, PETITIONER, VS. WILHELMSEN SMITH BELL MANNING, INC./ WILHELMSEN SHIP MANAGEMENT LTD., AND FAUSTO R. PREYSLER, JR., RESPONDENTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69071,THIRD DIVISION,GAERLAN,"WHEREFORE, the petition is GRANTED. The Decision dated January 24, 2020 and the Resolution dated November 9, 2020 of the Court of Appeals in CA-G.R. SP No. 160276 are hereby REVERSED and SET ASIDE. The Decision dated April 30, 2018 issued by Labor Arbiter Renaldo O. Hernandez in NLRC RAB Case No. (M) NCR-08-12093-17 is hereby REINSTATED with MODIFICATION.Respondents Wilhelmsen Smith Bell Manning, Inc., Wilhelmsen Ship Management Ltd., and the corporate officers of Wilhelmsen Smith Bell Manning, Inc. are hereby ORDERED to PAY, jointly and severally, petitioner Rosell R. Arguilles US$90,000.00 as total and permanent disability benefits.Interest at the rate of six percent (6%) per annum is likewise imposed on the total monetary award, reckoned from the date of finality of this judgment until its full satisfaction.SO ORDERED. Caguioa, (Chairperson), Inting, Dimaampao, and Singh, JJ., concur."," Caguioa, (Chairperson), Inting, Dimaampao, and Singh, JJ., concur.",,,C,,,,C,,P,,,C,,,C
G.R. No. 251732,"JULIUS ENRICO TIJAM Y NOCHE AND KENNETH BACSID Y RUIZ, PETITIONERS, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69089,THIRD DIVISION,GAERLAN,"WHEREFORE, the Petition for Review on Certiorari is GRANTED. The November 20, 2019 Decision and January 29, 2020 Resolution of the Court of Appeals in CA-G.R. CR No. 42347 are REVERSED and SET ASIDE. Petitioners Julius Enrico Tijam and Kenneth Bacsid are hereby ACQUITTED on the ground that their guilt was not proven beyond reasonable doubt. Let entry of judgment be issued immediately. SO ORDERED. Inting and Dimaampao, JJ., concur. Caguioa (Chairperson), J., see concurring opinion. Singh, J., see dissenting opinion. "," Inting and Dimaampao, JJ., concur. Caguioa (Chairperson), J., see concurring opinion. Singh, J., see dissenting opinion. ",,,C,,,,C,,P,,,C,,,D
G.R. No. 226716,"NATIONAL POWER CORPORATION PETITIONER, VS. PHILIPPINE NATIONAL BANK AND MUNICIPALITY OF SUAL, PANGASINAN, RESPONDENTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69132,THIRD DIVISION,DIMAAMPAO,"WHEREFORE, the Court hereby GRANTS the Petition for Review on Certiorari and SETS ASIDE the Decision dated September 24, 2015 and the Resolution dated August 12, 2016 of the Court of Tax Appeals En Banc in CTA EB No. 1104.The Notice of Assessment dated September 23, 2010 and the Warrant of Distraint dated December 28, 2010 issued against petitioner National Power Corporation are declared NULL and VOID.SO ORDERED. Caguioa, (Chairperson), Inting, Gaerlan, and Singh, JJ., concur."," Caguioa, (Chairperson), Inting, Gaerlan, and Singh, JJ., concur.",,,C,,,,C,,C,,,P,,,C
G.R. No. 256798,"JERRY DEAN A. PALAOAG,* PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69136,THIRD DIVISION,INTING,"WHEREFORE, the petition is GRANTED. The Decision dated November 26, 2020, and the Resolution dated June 4, 2021, of the Court of Appeals in CA-G.R. CR No. 42714 are MODIFIED in that petitioner Jerry Dean A. Palaoag is ACQUITTED in Criminal Case No. 36-2013 filed before Branch 72, Regional Trial Court, Olongapo City, of Estafa under paragraph 2(a), Article 315 of the Revised Penal Code, as amended by Republic Act No. 10951, for failure of the prosecution to prove his guilt beyond reasonable doubt.Let Entry of Judgment be issued immediately.SO ORDERED. Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.* Spelled as Palaog and Palauag in some parts of the rollo."," Caguioa, (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.* Spelled as Palaog and Palauag in some parts of the rollo.",,,C,,,,P,,C,,,C,,,C
G.R. No. 250610,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. FRANCIS VALENCIA Y LORENZO AND RYAN ANTIPUESTO, ACCUSED-APPELLANTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69153,SECOND DIVISION,LEONEN,"ACCORDINGLY, the May 31, 2019 Decision of the Court of Appeals in CA-G.R. CEB CR-HC No. 02906 is hereby REVERSED and SET ASIDE. Accused-appellants Francis Valencia y Lorenzo and Ryan Antipuesto are ACQUITTED of the crime of illegal sale of dangerous drugs and are ordered RELEASED from confinement unless they are being held for some other legal grounds.Let a copy of this Decision be furnished to the Director General of the Bureau of Corrections for immediate implementation. The Director General is directed to report the action he has taken to this Court within five (5) days from receipt of this Decision. For their information, copies shall also be furnished to the Chief of the Philippine National Police and the Director General of the Philippine Drug Enforcement Agency.Let entry of judgment be issued immediately.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 237277,"ALASKA MILK CORPORATION, PETITIONER, VS. RUBEN P. PAEZ, FLORENTINO M. COMBITE, JR.,* SONNY O. BATE, RYAN R. MEDRANO, AND JOHN BRYAN S. OLIVER, RESPONDENTS.  [G.R. No. 237317]  ASIAPRO MULTI-PURPOSE COOPERATIVE, PETITIONER, VS. RUBEN P. PAEZ, FLORENTINO M. COMBITE, JR., SONNY O. BATE, RYAN R. MEDRANO, AND JOHN BRYAN S. OLIVER, RESPONDENTS.  [G.R. No. 232718]  DON A. GILBUENA, JAYSON P. CASTASUS, RODEZ V. CELLE, EDMEL R. DE LUNA, ALVIN M. PUNZALAN, WILMAR A. FULE, MARLON V. CLANOR, MARVIN A. BERROYA, MATEO G. NARTE, AND NOEL O. AVILA, PETITIONERS, VS. ALASKA MILK CORPORATION, ASIAPRO MULTI-PURPOSE COOPERATIVE, ANTONIO H. OZAETA, AND JOSE MA. MARTIN M. CHENG, RESPONDENTS.  [G.R. No. 238965]  JOEL J. ROSALES, MARK JAMES REGULTO, EDWARD S. MINDO, MHARK ANTHONY O. BOLIMA, JEROME M. RODRIGUEZ, EDGARDO R. FORTES, JR., NELSON A. MATAS, ARNOLD M. QUINIA, GABBY P. GRAFIL, REDEL V. APILAN, JOELAN P. REGALIA AND JUAN CRIS M. MARCO, PETITIONERS, VS. ALASKA MILK CORPORATION, WILSON A. CONTRERAS AND WILFRED UYTENGSU, RESPONDENTS.  [G.R. No. 256753]  ALASKA MILK CORPORATION, PETITIONER, VS. DON A. GILBUENA, JAYSON P. CASTASUS, RODEZ V. CELLE, EDMEL R. DE LUNA, ALVIN M. PUNZALAN, WILMAR A. FULE, MARLON V. CLANOR, MARVIN A. BERROYA, MATEO G. NARTE, AND NOEL O. AVILA, RESPONDENTS.",7/10/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69323,SPECIAL SECOND DIVISION,INTING,"WHEREFORE, the Court RESOLVES as follows:The Motion for Partial Reconsideration and the Motion for Reconsideration of the Decision dated November 27, 2019, in G.R. Nos. 237277 and 237317 are DENIED with finality;The Petition for Review with Manifestation in G.R. No. 232718 is DENIED and the Decision dated May 31, 2016, and the Resolution dated June 28, 2017, of the Court of Appeals in CA-G.R. SP Nos. 135845 and 135923 are AFFIRMED;The Petition for Review with Motion to Consolidate in G.R. No. 238965 is PARTIALLY GRANTED. The Decision dated December 1, 2017, and the Resolution dated April 4, 2018, of the Court of Appeals in CA-G.R. SP No. 151550 are AFFIRMED with MODIFICATION. Respondent Alaska Milk Corporation is hereby ORDERED to reinstate petitioners Joel J. Rosales, Mark James P. Regulto, Edward S. Mindo, Mhark Anthony O. Bolima, Jerome M. Rodriguez, Edgardo R. Fortes, Jr., Nelson A. Matas, Arnold M. Quinia, Gabby P. Grafil, Redel V. Apilan, Joelan P. Regalia, and Juan Cris M. Marco to their former positions, or the equivalents thereof, without the payment of backwages; andThe Petition for Review in G.R. No. 256753 is DENIED. The Decision dated September 14, 2020, and Resolution dated June 7, 2021, of the Court of Appeals in CA-G.R. SP No. 155059 are AFFIRMED.SO ORDERED. Zalameda, Gaerlan,** J. Lopez,*** and Dimaampao,**** JJ., concur.* Referred to as ""Florentino M. Combite"" in some parts of the rollo.** Designated additional Member vice Associate Justice Ramon Paul L. Hernando.*** Designated additional Member vice Associate Justice Priscilla J. Baltazar-Padilla (now a former Member of the Court).**** Designated additional Member vice Associate Justice Maria Filomena D. Singh."," Zalameda, Gaerlan,** J. Lopez,*** and Dimaampao,**** JJ., concur.* Referred to as ""Florentino M. Combite"" in some parts of the rollo.** Designated additional Member vice Associate Justice Ramon Paul L. Hernando.*** Designated additional Member vice Associate Justice Priscilla J. Baltazar-Padilla (now a former Member of the Court).**** Designated additional Member vice Associate Justice Maria Filomena D. Singh.",,,,,,,P,C,C,,C,C,,,
A.M. No. 23-05-05-SC,"REQUEST OF THE PUBLIC ATTORNEY'S OFFICE TO DELETE SECTION 22, CANON III OF THE PROPOSED CODE OF PROFESSIONAL RESPONSIBILITY AND ACCOUNTABILITY",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69023,EN BANC,SINGH,"WHEREFORE, the Public Attorney's Office's request that Section 22, Canon III of the Code of Professional Responsibility and Accountability be removed and temporarily not implemented is DENIED for lack of merit. The Public Attorney's Office is directed to strictly comply with the Code of Professional Responsibility and Accountability, specifically, Section 22, Canon III. Atty. Persida V. Rueda-Acosta is directed to SHOW CAUSE, within an inextendible period of ten (10) days from notice, why she should not be cited in indirect contempt. She is further ordered to SHOW CAUSE, within an inextendible period of ten (10) days from notice, why she should not be disciplined as a member of the bar for violation of Canon II, Sections 2, 14, and 42 of the Code of Professional Responsibility and Accountability. Atty. Persida V. Rueda-Acosta and all other lawyers of the Public Attorney's Office are DIRECTED to refrain from making further statements relative to the subject matter of this case in any forum. Atty. Acosta is lastly instructed to cease all efforts to contact, directly or indirectly, any Member of the Court in regard to this matter. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur. "," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur. ",C,C,C,C,C,C,C,C,C,C,C,C,C,C,P
G.R. No. 229471,"PACIFIC CEMENT COMPANY, PETITIONER, VS. OIL AND NATURAL GAS COMMISSION, RESPONDENT.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69051,EN BANC,GESMUNDO,"WHEREFORE, the petition is DENIED. The August 20, 2015 Decision, and the August 22, 2016 and January 11, 2017 Resolutions of the Court of Appeals, Cagayan de Oro City in CA-G.R. CV No. 02916-MIN are AFFIRMED.The Office of the Court Administrator is DIRECTED to DISSEMINATE copies of this Decision to all trial courts, for their guidance.SO ORDERED. Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",P,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 222810,"FORMER MUNICIPAL MAYOR CLARITO A. POBLETE, MUNICIPAL BUDGET OFFICER MA. DOLORES JEANETH BAWALAN, AND MUNICIPAL ACCOUNTANT NEPHTALI V. SALAZAR, PETITIONERS, VS. COMMISSION ON AUDIT, RESPONDENT.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69062,EN BANC,SINGH,"WHEREFORE, the Petition is DISMISSED. The Commission on Audit's Decision in Decision No. 2015-048, dated February 23, 2015, is AFFIRMED. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, and Marquez, JJ., concur. Caguioa, J., see concurring and dissenting opinion. Kho, Jr., J. please see concurring and dissenting opinion. "," Gesmundo, C.J., Leonen, SAJ., Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, and Marquez, JJ., concur. Caguioa, J., see concurring and dissenting opinion. Kho, Jr., J. please see concurring and dissenting opinion. ",C,C,CD,C,C,C,C,C,C,C,C,C,C,CD,P
A.C. No. 13675 (Formerly CBD 19-6024),"MARY ROSE E. DIZON, RANDOLPH STEPHEN G. PLEYTO, AND JONASH BELGRADE C. TABANDA, COMPLAINANTS, VS. MAILA LEILANI TRINIDAD-RADOC, RESPONDENT.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69087,EN BANC,PER CURIAM:,"WHEREFORE, Atty. Maila Leilani Trinidad-Radoc is found GUILTY of Gross negligence in the performance of duty, or conduct that is reckless and inexcusable, which results in the client being deprived of his or her day in court, under Section 33(d) and misappropriating a client's funds or properties, under Section 33(g) of the Code of Professional Responsibility and Accountability. She is DISBARRED from the practice of law and her name stricken from the Roll of Attorneys, effective immediately. Moreover, Atty. Maila Leilani Trinidad-Radoc is ORDERED to RETURN to the complainants the amount of P450,000.00, with interest of six percent (6%) per annum, reckoned from the date of finality of this Decision, until full payment. Let a copy of this Resolution be attached to her personal record in the Office of the Bar Confidant. Copies shall likewise be furnished to the Integrated Bar of the Philippines for its information and guidance; and the Office of the Court Administrator for dissemination to all courts of the Philippines. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. "," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. ",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 233930,"ANNA MAY V. BAQUIRIN, MARY JANE N. REAL, MARIA LULU G. REYES, JOAN DYMPHNA G. SANIEL, AND EVALYN G. URSUA, PETITIONERS, VS. RONALD M. DELA ROSA, IN HIS CAPACITY AS DIRECTOR-GENERAL OF THE PHILIPPINE NATIONAL POLICE, JOSE LUIS MARTIN C. GASCON, IN HIS CAPACITY AS CHAIRPERSON OF THE COMMISSION ON HUMAN RIGHTS, AND VITALIANO AGUIRRE II, IN HIS CAPACITY AS THE SECRETARY OF THE DEPARTMENT OF JUSTICE, RESPONDENTS.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69091,EN BANC,SINGH,"WHEREFORE, the Petition for Mandamus is DISMISSED. SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur. Leonen, SAJ., see separate opinion. "," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, and Kho, Jr., JJ., concur. Leonen, SAJ., see separate opinion. ",C,C,C,C,C,C,C,C,C,C,C,C,C,C,P
G.R. No. 209449,"REPUBLIC OF THE PHILIPPINES, PETITIONER, VS. NATIONAL COMMISSION ON INDIGENOUS PEOPLES, REGISTER OF DEEDS ‚Äî BAGUIO CITY, LAND REGISTRATION AUTHORITY, HEIRS OF LAURO CARANTES, DIMSON MANILA, INC., JOAN L. GORIO, AND CERTAIN JANE DOES AND JOHN DOES, RESPONDENTS.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69125,EN BANC,LEONEN,"ACCORDINGLY, the Petition for Review is GRANTED. The Decision and Resolution of the Court of Appeals dated January 30, 2013 and September 10, 2013 respectively in CA-G.R. SP No. 118259 are SET ASIDE. SO ORDERED. Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,P,C,C,C,C,C,C,C,C,C,C,C,C,C
G.R. No. 245894,"RAQUEL C. MELLORIA, MUNICIPAL ACCOUNTANT, EDUARDA A. CASADOR, MUNICIPAL TREASURER, MUNICIPALITY OF LAAK, PROVINCE OF COMPOSTELA VALLEY, PETITIONERS, VS. DIRECTOR FLERIDA A. JIMENEZ, IN HER CAPACITY AS HEAD, INTELLIGENCE AND CONFIDENTIAL FUNDS AUDIT UNIT, OFFICE OF THE CHAIRPERSON, AND COMMISSION ON AUDIT, RESPONDENTS.",7/11/23,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/69135,EN BANC,DIMAAMPAO,"In view of the foregoing discussion, the Court pronounces:....2. If a Notice of Disallowance is upheld, the rules on return are as follows:a. Approving and certifying officers who acted in good faith, in regular performance of official functions, and with the diligence of a good father of the family are not civilly liable to return consistent with Section 38 of the Administrative Code of 1987[.] (Emphasis supplied)In the disputed transaction, Melloria, as the municipal accountant, ce1iified that the allotment was obligated for the purpose, while Casador, as the municipal treasurer, certified the availability of funds. It can be easily distilled that petitioners were merely performing ministerial functions not related to the legality or illegality of the disbursement. These are ministerial functions that officers must perform with respect to a given state of facts, in a prescribed manner, in obedience to the mandate of legal authority, without regard to or exercise of their own judgment.[39] A duty is ministerial when the same requires neither the exercise of official discretion nor judgment.[40]In Celeste v. Commission on Audit,[41] the Court has previously held that officials whose participation is limited to certifying the availability of funds or completeness of supporting documents are presumed to have acted in good faith because they were merely attesting to facts based on their records. Also, in Alejandrino v. Commission on Audit,[42] the Court explained that the certifying officers' participation in the disallowed transaction is ministerial because they could not have refused to certify to these matters if they were true. The Court ruled that officers who were only performing duties that can be considered ministerial could not be held personally liable for disallowances if they were not involved in policymaking or decision-making concerning the disallowed transaction.Being mere certifying officers, petitioners do not appear to have a hand in deciding the upper limit of the intelligence and confidential funds or which activities could be charged against the intelligence and confidential funds, or that through the exercise of their functions as certifiers, they could have prevented the cash advances drawn by the Municipal Mayor upon whom the responsibility for the execution of the local budget is primarily vested as the local chief executive.In pr√©cis, petitioners acted in good faith and may be excused from the solidary liability to return the disallowed amounts, consistent with Rule 2(a) of the Rules of Return in Madera.THE FOREGOING DISQUISITIONS CONSIDERED, the Petition for Certiorari filed by petitioners Raquel C. Melloria, and Eduarda A. Casador is hereby PARTIALLY GRANTED. The assailed Decision Nos. 2018-007 and 2019-008 of the Commission on Audit are AFFIRMED with MODIFICATION.Petitioners Raquel C. Melloria, and Eduarda A. Casador, are EXCUSED from returning the disallowed amounts in Notice of Disallowance No. 2014-12-0013, having acted in good faith.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro Javier, Inting, Zalameda, M. Lopez, Gaerlan, Rosario, J. Lopez, Marquez, Kho, Jr., and Singh, JJ., concur.",C,C,C,C,C,C,C,C,C,C,C,P,C,C,C
